,antecedent,consequent,support,confidence
58,[13],[14],0.059515252580431846,0.4329638151014432
59,"[13, 15]",[14],0.0016963284551910526,0.38562091503267976
60,[55],[15],0.054915039820591705,0.9095238095238096
61,"[48, 55]",[15],0.04603087892815043,0.941764705882353
62,[55],[15],0.054915039820591705,0.9095238095238096
63,"[43, 55]",[15],0.04864724993530951,0.9155844155844156
64,[6],[16],0.03838302521491619,0.29308452250274425
65,"[6, 35]",[16],0.03519162761277709,0.3070747616658304
66,[6],[16],0.03838302521491619,0.29308452250274425
67,"[6, 31]",[16],0.034990368304534086,0.3336989306279134
68,[27],[17],0.1351600011500532,0.8291005291005291
69,"[27, 36]",[17],0.09591443604266697,0.8300572281662105
70,[27],[17],0.1351600011500532,0.8291005291005291
71,"[27, 62]",[17],0.045887122279405425,0.9078498293515359
72,[36],[18],0.11514907564474856,0.662969707002152
73,"[36, 41]",[18],0.09163048791006584,0.9118741058655222
74,[36],[18],0.11514907564474856,0.662969707002152
75,"[19, 36]",[18],0.027572525229291853,0.8238831615120276
76,[63],[19],0.1417728069923234,0.8647842862153631
77,"[11, 63]",[19],0.12426324717518185,0.9608714984437527
78,[63],[19],0.1417728069923234,0.8647842862153631
79,"[10, 63]",[19],0.11641413415370461,0.932304858392816
80,[26],[20],0.11230269399959748,0.8137500000000001
81,"[26, 41]",[20],0.09329806503550789,0.8496988740507986
82,[26],[20],0.11230269399959748,0.8137500000000001
83,"[26, 38]",[20],0.09536816077743596,0.9383309759547384
84,[31],[21],0.11227394266984848,0.8183151718357082
85,"[6, 31]",[21],0.09499439349069895,0.9059500959692899
86,[31],[21],0.11227394266984848,0.8183151718357082
87,"[5, 31]",[21],0.10706995198527931,0.9116279069767441
88,[5],[22],0.09732325120036801,0.6551190245790594
89,"[5, 66]",[22],0.08280382967712256,0.7237999497361145
90,[5],[22],0.09732325120036801,0.6551190245790594
91,"[5, 21]",[22],0.08800782036169173,0.7404450895016933
92,[49],[23],0.0741496794226733,0.9068213783403656
93,"[46, 49]",[23],0.06687559299617607,0.9627483443708609
94,[49],[23],0.0741496794226733,0.9068213783403656
95,"[49, 52]",[23],0.04939478450878353,0.9717194570135748
96,[2],[24],0.11497656766625457,0.9107264859940789
97,"[2, 30]",[24],0.11152640809637446,0.9387705711519845
98,[2],[24],0.11497656766625457,0.9107264859940789
99,"[2, 34]",[24],0.08849659296742474,0.9855907780979827
100,[40],[25],0.09927834162330008,0.7991205739412174
101,"[9, 40]",[25],0.09232051982404187,0.8414570230607967
102,[40],[25],0.09927834162330008,0.7991205739412174
103,"[22, 40]",[25],0.08174003047640953,0.9005384859043395
104,[20],[26],0.11230269399959748,0.7615519594462858
105,"[20, 41]",[26],0.09329806503550789,0.9373194685153091
106,[20],[26],0.11230269399959748,0.7615519594462858
107,"[20, 38]",[26],0.09536816077743596,0.8357268833459309
